"","title_data"
"1","Neural Networks And AVO"
"2","Deconvolution Using Neural Networks"
"3","Neural Network Stacking Velocity Picking"
"4","Hydrocarbon Prediction Using Dual Neural Network"
"5","Higher-Order Neural Networks in Petroleum Engineering"
"6","Multiple Attenuation With Attribute-based Neural Networks"
"7","Conductive fracture identification using neural networks"
"8","APPLYING NEURAL NETWORK IN HYDROTREATING PROCESS"
"9","Bit Bounce Detection Using Neural Networks"
"10","Artificial Neural Networks in Drilling Troubles Prediction"
"11","AVO Inversion By Artificial Neural Networks (ANN)"
"12","Dynamic Neural Network Calibration of Quartz Transducers"
"13","Estimation of Welding Distortion Using Neural Network"
"14","Drilling Hydraulics Optimization Using Neural Networks"
"15","Seismic Velocity Picking using Hopfield Neural Network"
"16","Neural Networks to Derive Wave Spectra"
"17","Predicting Wax Formation Using Artificial Neural Network"
"18","First Break Picking Using Neural Networks"
"19","Reservoir Characterization Using Feedforward Neural Networks"
"20","Neural Networks For Primary Reflection Identification"
"21","Neural Networks In the Petroleum Industry"
"22","Artificial Intelligence I Neural Networks In Geophysics"
"23","Minimum-variance Deconvolution Using Artificial Neural Networks"
"24","Neural Networks And Paper Seismic Interpretation"
"25","Seismic Principal Components Analysis Using Neural Networks"
"26","Inversion of Seismic Waveforms Using Neural Networks"
"27","Seismic Attribute Calibration Using Neural Networks"
"28","Seismic Facies Mapping By Competitive Neural Networks"
"29","System Identification of an Autonomous Surface Vehicle Using Neural Networks"
"30","Artificial Neural Network Solutions to AVO Inversion Problems"
"31","Permeability Prediction Using Hybrid Neural Network Modelling"
"32","Using Neural Networks to Predict Lithology From Well Logs"
"33","Inversion of a Lateral Log Using Neural Networks"
"34","Neural Network Regression Analysis And Post-stack Inversion- A Comparison"
"35","Prediction of the PVT Data using Neural Network Computing Theory"
"36","Penetration and Quality Control With Artificial Neural Network Welding System"
"37","Neural Networks: A New Tool for the Petroleum Industry?"
"38","Analysis of Waterflooding Through Application of Neural Networks"
"39","Neural Network For Parameters Determination And Seismic Pattern Detection"
"40","Artificial Neural Network Model for Predicting Wellbore Instability"
"41","Neural Network Approach Predicts U.S. Natural Gas Production"
"42","Predictive Ore Deposit Targeting Using Neural Network Analysis"
"43","Substructural Identification of Offshore Structures  Using Neural Networks"
"44","Predicting Natural Gas Production Using Artificial Neural Network"
"45","ARTIFICIAL NEURAL NETWORK USE ON SIMULATION OF GEOLOGICAL PROCESSES"
"46","Principal Component Neural Network For Seismic Pattern Analysis"
"47","Matching Time-lapse Seismic Data Using Neural Networks"
"48","A Neural Network Method For Engineering Rock Mass Classification"
"49","Determination of Rock Properties By Accelerated Neural Network"
"50","Application of Artificial Neural Networks for Well Logs"
"51","Neural Network Identification of Hydrocarbon Potential of Shaly Sand Reservoirs"
"52","A Neural Networks Based Seismic Object Detection Technique"
"53","Petro-seismic Classification Using Neural Networks: UK Onshore"
"54","Model Experiments On Dynamic Positioning System Using Neural Network Controller"
"55","Artificial Neural Networks in Drilling Troubles Prediction (Russian)"
"56","Predicting Water Saturation Using Artificial Neural Networks (ANNs)"
"57","Neural Network Methods for the Prediction of Pitting Potentials"
"58","Pseudo Density Log Generation Using Artificial Neural Network"
"59","Application of Neural Networks for Improved Gravel-Pack Design"
"60","Artificial Neural Networks Applied to the Operation of VGO Hydrotreaters"
"61","Neural Networks Models for Estimation of Fluid Properties"
"62","A Neural Network Method to Evaluate Consolidation Coefficients"
"63","Improved Carbonate Reservoir Facies Classification Using Artificial Neural Network Method"
"64","Application of Neural Network to Control Penetration In Arc Welding"
"65","IOR Evaluation and Applicability Screening Using Artificial Neural Networks"
"66","Prediction of Parametric Roll Resonance By Multilayer Perceptron Neural Network"
"67","Artificial Neural Network Based Autopicker For Micro-earthquake Data"
"68","Effects of Diagenesis on Neural-Network Grain-Size Prediction"
"69","Prediction of Oil PVT Properties Using Neural Networks"
"70","Identification of Unexploded Ordnance From Clutter Using Neural Networks"
"71","Gas Lift Optimization using Artificial Neural Network"
"72","Application of Neural Networks to Travel-times Computation"
"73","Stuck Pipe Prediction and Avoidance: A Convolutional Neural Network Approach"
"74","Application of Probabilistic Neural Network on Complex Carbonate Reservoir Prediction"
"75","Refork Completion Analysis with the Aid of Artificial Neural Networks"
"76","Performing Reservoir Simulation with Neural Network Enhanced Data"
"77","Analysis of Crack Coalescence In Rock Bridges Using Neural Network"
"78","Applications of Neural Networks in Multiwell Field Development"
"79","Optimization of Spacer Rheology Using Neural Network Technology"
"80","Prediction of Flow Units and Permeability Using Artificial Neural Networks"
"81","Artificial-Lift Systems Pattern Recognition Using Neural Networks"
"82","Predicting Reliability of AVA Effects Using Neural Networks"
"83","Application of Artificial Neural Networks to Wave Nowcasting"
"84","Neural Networks Can Enhance Fuzzy Corrosion Modeling"
"85","Using Neural Networks for Prediction of Formation Fracture Gradient"
"86","Assessment of Formation Damage Using Artificial Neural Networks"
"87","Neural Networks Can Enhance Fuzzy Corrosion Modeling"
"88","Treating Uncertainties in Reservoir Performance Prediction with Neural Networks"
"89","An Artificial Neural Network Based Relative Permeability Predictor"
"90","Pipeline Internal Damage Prediction by Deterministic Models and Neural Networks"
"91","Modeling Flocculation Processes Using Artificial Neural Networks"
"92","Neural Network Prediction Model of Miscible Displacements in Heterogeneous Reservoirs"
"93","Application of Artificial Neural Networks to Downhole Fluid Analysis"
"94","Improving the Reliability of First-break Picking With Neural Networks"
"95","Seismic Trace Editing And First Break Picking Using Neural Networks"
"96","Inversion of Gravity Gradiometry Data Using a Neural Network"
"97","Stochastic Imaging of Reservoir Properties Using Probabilistic Neural Networks"
"98","A Neural Network Approach to Automate Velocity Picking"
"99","Lineaments Analysis For Potential- Fields Data Using Neural Networks"
"100","Hybrid Neural Network For Seismic Pattern Recognition"
"101","Resistivity-log Inversion Using a Heterogeneous Artificial Neural Network"
"102","Preprocessing GPR Signatures For Cascading Neural Network Classification"
"103","Self-organizing Neural Network For Picking Seismic Horizons"
"104","Hopfield Neural Network For Seismic Horizon Picking"
"105","Early-stage Reservoir Analysis With SOMA: A Neural Network Approach"
"106","Interactive AVO Time-Alignment And Neural Network Classification"
"107","Tank Coating Damage Assessment Using an Artificial Neural Network Model"
"108","Stochastic Reservoir Simulation Using Neural Networks Trained on Outcrop Data"
"109","Predicting Lithology From V, And V, Using Neural Networks"
"110","Neural Networks For Robust Recognition of Seismic Reflection Patterns"
"111","Artificial Neural Network Enhanced Completions Improve Well Economics"
"112","Short Term Gas Demand Forecasting Based on Artificial Neural Network"
"113","Recognizing EM Ellipticity Patterns With Neural Networks"
"114","Use of Neural Networks For Inversion of Seismic Data"
"115","Neocognitron of a Neural Network For Seismic Pattern Recognition"
"116","Application of Artificial Neural Networks (ANNs) to Sub-basalt Imaging."
"117","Neural Network Method For Tracing Seismic Events"
"118","Neural Networks For Seismic Wavelet Extraction And Clustering"
"119","Rock Parameter Inversion Using Well And Depth Domain Seismic Data By SRM Neural Networks"
"120","Resolution Analysis In Well Log Estimation By Using Neural Networks: Eastern Venezuela"
"121","Integrating Neural Networks And Fuzzy Logic For Improved Reservoir Property Prediction And Prospect Ranking"
"122","Estimation of Transmission Line Icing At Different Sites Using a Neural Network"
"123","Simulation of Stress-Strain Behavior of Fine Sand Using Artificial Neural Network"
"124","Determining Reservoir Properties in Reservoir Studies Using a Fuzzy Neural Network"
"125","A Genetic Algorithm/neural Network Approach to Seismic Attribute Selection For Well Log Prediction"
"126","Comprehensive Classification Iof Rock Stability, Blastability And Drillability Based On Neural Networks"
"127","Reliability Based Design of Breakwater Armor Layers Using Neural Network"
"128","A Robust Neural Network Model for Pattern Recognition of Pressure Transient Test Data"
"129","Neural-Network based Sensitivity Analysis for Injector-Producer Relationship Identification"
"130","Statistical Consideration of Holocene Clay Properties Estimated by Artificial Neural Network in Kobe Airport"
"131","Prediction of Sediment Undrained Shear Strength From Geophysical Logs Using Neural Networks"
"132","Artificial Neural Network Apply to Predict the Sea-Level Change by using Satellite Data"
"133","The Sea-Level Predictions Around Taiwan in 2030 Using Artificial Neural Network"
"134","Predicting Temperature Profiles in Producing Oil Wells Using Artificial Neural Networks"
"135","Analysis of In-situ Stress Field By Using a Visual BP Neural Network"
"136","Sophisticated ROP Prediction Technology Based on Neural Network Delivers Accurate ResultsSophisticated ROP Prediction Technology Based on Neural Network Delivers Accurate Results"
"137","Prediction of True Resistivity and Resistivity index using Neural Networks with Different Combinations of Wireline Logs"
"138","A Novel Approach To Predict Interaction Between Hydraulic Fracture and Natural Fracture Using Artificial Neural Networks"
"139","Neural Networks For The Modeling Of Electrical And Induction Logs"
"140","Neural-Network Approach To Predict Well Performance Using Available Field Data"
"141","Automatic Parameter Estimation From Well Test Data Using Artificial Neural Network"
"142","Predicting Well Inflow Performance in Solution Gas Drive Reservoir by Neural Network"
"143","Application Of A Multilayer Neural Network And Statistical Techniques In Formation Characterisation"
"144","Corrosion Protection Status Survey of Submarine Pipelines Based On Bayesian Regulated Neural Networks"
"145","Applicability of Artificial Neural Network to Spatial Interpolation of Soil Properties In Kansai International Airport"
"146","Application of Neural Networks in the Prediction of Reservoir Hydrocarbon Mixture Composition From Production Data"
"147","A Methodological Approach for Reservoir Heterogeneity Characterization Using Artificial Neural Networks"
"148","Neural Network Based Adaptive Control for a Thruster Assisted Mooring Vessel in Mooring Line Failure"
"149","Oil Spill Detection and Characterization from Satellite Image Using Artificial Neural Network Algorithm"
"150","A New Neural Network Approach to Reservoir Permeability Estimation from Well Logs"
"151","Hybrid Simulation Using Neural Networks To Predict Drilling Hydraulics in Real Time"
"152","Distribution of New Horizontal Wells by the Use of Artificial Neural Network Algorithm"
