"year","source","paper_id","discipline","title_data","type","author1_data"
"            2002","          SEG ","          2002-0229 ","other","Neural Networks And AVO","          Conference Paper","Russell, Brian, Hampson-Russell Software Services Ltd."
"            1996","          SEG ","          1996-1611 ","petrophysics","Deconvolution Using Neural Networks","          Conference Paper","Essenreiter, Robert, Karlsruhe University"
"            1992","          SEG ","          1992-0018 ","geophysics","Neural Network Stacking Velocity Picking","          Conference Paper","Schmidt, Jumndyr, Petrobras, Brazil"
"            2000","          SEG ","          2000-1440 ","reservoir","Hydrocarbon Prediction Using Dual Neural Network","          Conference Paper","Xiangjun, Zhang, Institute of Geology & Geophysics , Chinese Academy of Science, Beijing, China"
"            1994","          SPE ","          27905-MS ","other","Higher-Order Neural Networks in Petroleum Engineering","          Conference Paper","Kumoluyi, A.O., Imperial College"
"            2000","          SEG ","          2000-1989 ","geophysics","Multiple Attenuation With Attribute-based Neural Networks","          Conference Paper","Karrenbach, M., University of Karlsruhe"
"            1995","          ARMA ","          95-0627 ","stimulation","Conductive fracture identification using neural networks","          Conference Paper","Thomas, Andrew L., Golder Associates Inc."
"            2002","          WPC ","          32202 ","surface","APPLYING NEURAL NETWORK IN HYDROTREATING PROCESS","          Conference Paper","Silva, M., Petróleo Brasileiro S.A., Brazil"
"            2004","          SEG ","          2004-0358 ","drilling","Bit Bounce Detection Using Neural Networks","          Conference Paper","Vassallo, Massimiliano, Dipartimento di Elettronica e Informazione"
"            2014","          SPE ","          171274-MS ","drilling","Artificial Neural Networks in Drilling Troubles Prediction","          Conference Paper","Lind, Yuliya B., BashNIPIneft LTD"
"            2000","          SEG ","          2000-0130 ","geophysics","AVO Inversion By Artificial Neural Networks (ANN)","          Conference Paper","Sun, Qiang, University of Oklahoma, Institute for Exploration and Development Geosciences"
"            2003","          SPE ","          84381-MS ","digital|wireless|AVO|pattern|Quantization","Dynamic Neural Network Calibration of Quartz Transducers","          Conference Paper","Schultz, R.L., Halliburton Energy Services, Inc."
"            2008","          ISOPE ","          I-08-278 ","surface","Estimation of Welding Distortion Using Neural Network","          Conference Paper","Okumoto, Yasuhisa, Kinki University, School of Engineering Higashihiroshima, Japan"
"            2015","          SPE ","          173420-MS ","drilling","Drilling Hydraulics Optimization Using Neural Networks","          Conference Paper","Wang, Yanfang, University of Louisiana at Lafayette"
"            2015","          SEG ","          2015-5815718 ","geophysics","Seismic Velocity Picking using Hopfield Neural Network","          Conference Paper","Huang, Kou-Yuan, National Chiao Tung University"
"            2004","          ISOPE ","          I-04-306 ","geophysics","Neural Networks to Derive Wave Spectra","          Conference Paper","Namekar, Shailesh, Department of Civil Engineering, Indian Institute of Technology"
"            2012","          SPE ","          163026-MS ","reservoir","Predicting Wax Formation Using Artificial Neural Network","          Conference Paper","Adeyemi, B.J., University of Ibadan, Nigeria"
"            1990","          SEG ","          1990-0370 ","geophysics","First Break Picking Using Neural Networks","          Conference Paper","Wagner, D.E., Amoco Production Co."
"            1993","          SEG ","          1993-0258 ","reservoir","Reservoir Characterization Using Feedforward Neural Networks","          Conference Paper","An, P., University of Manitoba, Canada"
"            1993","          SEG ","          1993-0242 ","geophysics","Neural Networks For Primary Reflection Identification","          Conference Paper","Hansen, Kim Vejlby, Odegaard and Danneskiold-Samsoe Aps, Denmark"
"            1991","          SEG ","          1991-0728 ","other","Neural Networks In the Petroleum Industry","          Conference Paper","McCormack, Michael P., Arco Oil & Gas Co."
"            1992","          SEG ","          1992-0001 ","geophysics","Artificial Intelligence I Neural Networks In Geophysics","          Conference Paper","Guo, Yi, Center for Potential Fields Studies, Colorado School of Mines"
"            1988","          SEG ","          1988-0738 ","petrophysics","Minimum-variance Deconvolution Using Artificial Neural Networks","          Conference Paper","Zhao, Xiaofeng, University of Southern California"
"            1995","          SEG ","          1995-0142 ","geophysics","Neural Networks And Paper Seismic Interpretation","          Conference Paper","Leggett, Miles, British Gas plc"
